Title,Price,Size,Neighbourhood,City,Date_Posted,Rooms
"Sprzedam umeblowane, 2 pokojowe mieszkanie, os. V
228 000 zł",228000.0,42.16,,Konin,2025-04-23,2
"Duże, bezczynszowe mieszkanie na parterze
170 000 zł",170000.0,61.47,,Wijewo,2025-04-17,
"Dwa pokoje, oddzielna kuchnia
165 600 zł",165600.0,36.0,,Murowana Goślina,2025-04-25,
"Przestronna Kawalerka/2 Pok. w Centrum | Parter
249 000 zł",249000.0,32.8,,Września,2025-04-16,1
"Sprzedam bezpośrednio 2 pokojowe mieszkanie w centrum Kalisza
215 000 zł",215000.0,28.0,,Kalisz,,2
"Spszedam Mieszkanie
230 000 zł",230000.0,3330.0,,Koło,,
"Mieszkanie Kowalskie 55 m2, 2 pokoje, ogród, garaż, piwnica
245 000 zł",245000.0,54.9,,Kowalskie,2025-05-11,2
"PSARSKIE - ul. Hebanowa 5 lokal 22
235 934 zł",235934.0,31.54,,Psarskie,2025-05-07,
"Śródmieście! 2 pokoje na parterze
249 000 zł",249000.0,39.1,,Oborniki,2025-04-14,2
"MIESZKANIE W CENTRUM 33 m2, 2 pokoje, po remoncie
250 000 zł",250000.0,33.04,,Konin,2025-04-10,2
"Mieszkanie 3 pokojowe o pow 42m- os. Górne
229 000 zł",229000.0,42.24,,Piła,2025-04-19,3
"kawalerka na sprzedaż - Luboń
189 000 zł
do negocjacji",189000.0,22.0,,Luboń,2025-05-01,1
"Gniezno Centrum -z projektem adaptacyjnym. 71m
245 000 zł",245000.0,71.0,,Gniezno,2025-03-19,
"Mieszkanie 34.5m PARTER miejsce parkingowe
245 000 zł",245000.0,34.5,,Śrem,2025-04-14,
"Do remontuOkazjaŚrem
224 900 zł",224900.0,37.5,,Śrem,2025-05-04,
"Przestronne Mieszkanie Na Sprzedaż Konin Łężyn
250 000 zł",250000.0,56.3,,Konin,2025-05-02,
"Ścisłe centrum - duża kawalerka
192 000 zł",192000.0,49.83,,Kalisz,2025-04-13,1
